"id";"poste";"localisation";"domaine";"contrat";"entreprise";"salaire";"niveau_etude";"competences"
"1";"Développeur java";"Casablanca";"Informatique / Multimédia / Internet";"A discuter";"onepay";"A discuter";"Bac plus 3";"java,javascript,angular,jee,oracle"
"2";"Développeur front-end / Intégrateur web";"Rabat";"Informatique / Multimédia / Internet";"CDI";"WEBHI TECHNOLOGY SARL";"A discuter";"Bac plus 2";"java,javascript,jquery,html,css,ajax,bootstrap"
"3";"Ingénieur Data";"Casablanca";"Grande Distribution";"CDI";"Confidentiel";"A discuter";"Bac plus 5";"java,python,scala,shell"
"4";"Développeur react.js";"Marrakech";"Informatique / Multimédia / Internet";"CDI";"ENGINEERING INSIDE";"A discuter";"Pas important";"react"
"5";"Developpeurs senior -- experience exigee";"Marrakech";"Informatique / Multimédia / Internet";"CDI";"EI";"A discuter";"Pas important";"java,javascript,react,vue,node"
"6";"DEVELOPPEUR EN .NET A RABAT";"Rabat";"Informatique / Multimédia / Internet";"CDI";"sarl";"A discuter";"Bac plus 3";"java,javascript,jquery,angular"
"7";"Développeur Frontend ReactJS";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"SARL";"A discuter";"Bac plus 2";"react,next"
"8";"Développeur Fullstack";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"Digital Brains";"A discuter";"Bac plus 4";"react,html,css,php,angular,wordpress"
"9";"Développeur JAVA";"Casablanca";"Informatique / Multimédia / Internet";"A discuter";"1pay";"A discuter";"Bac plus 3";"java,javascript,angular,jee,oracle"
"10";"Développeur Applications Mobiles";"Safi";"Informatique / Multimédia / Internet";"A discuter";"BETTER APPS";"A discuter";"Bac plus 2";"react,laravel"
"11";"Développeur";"Marrakech";"Marketing / Communication / Publicité / Rp";"A discuter";"Amdimo";"A discuter";"Bac plus 2";"jquery,html,css"
"12";"Développeur Python Flask Fastapi Typescript React";"Rabat";"Informatique / Multimédia / Internet";"CDI";"SUCCESS";"Plus de 10 000 DH";"Bac plus 5";"react,python,next"
"13";"Développeur Php";"Rabat";"Informatique / Multimédia / Internet";"A discuter";"Confidentiel";"A discuter";"Bac plus 2";"java,javascript,html,css,php,wordpress"
"14";"Développeur Mobile Flutter (H/F)";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"DP";"A discuter";"Bac plus 4";"flutter"
"15";"Développeur PHP Confirmé";"Rabat";"Informatique / Multimédia / Internet";"CDI";"FORNET";"A discuter";"Bac plus 3";"php"
"16";"Développeur Front-End (H/F)";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"DP";"A discuter";"Bac plus 3";"java,javascript,wordpress"
"17";"Software developer php";"Marrakech";"Informatique / Multimédia / Internet";"CDI";"ALTERIPSO Maroc";"8 000 - 10 000 DH";"Bac plus 5";"java,javascript,react,html,css,php"
"18";"Développeur iOS";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"GEB A";"A discuter";"Pas important";"swift"
"19";"Développeur Swift UI";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"GEB Analysis";"A discuter";"Bac plus 2";"swift"
"20";"Technicien  Développement";"Casablanca";"Informatique / Multimédia / Internet";"CDI";"CBO";"A discuter";"Bac plus 3";"java,c++,python,j2ee,oracle"
"21";"Développeur en informatique Expérimenté";"Casablanca";"Informatique / Multimédia / Internet";"A discuter";"RIM TELECOM";"A discuter";"Bac plus 3";"java,html,css,angular"
"22";"Développeur Full Stack";"Marrakech";"Informatique / Multimédia / Internet";"CDI";"French Web";"6 000 - 8 000 DH";"Pas important";"java,javascript,jquery,react,html,css,php,laravel,react native,angular"
"23";"Développeur Front-End /Back-End";"Tanger";"Informatique / Multimédia / Internet";"CDI";"Informatique";"A discuter";"Bac plus 5";"laravel,vue,angular"
"24";"Développeur Mobile Android/IOS";"Tanger";"Informatique / Multimédia / Internet";"CDI";"Informatique";"A discuter";"Bac plus 5";"java,react,swift"
"25";"Un Développeur";"Fès";"Informatique / Multimédia / Internet";"A discuter";"Benarko";"A discuter";"Bac plus 3";"c#"
"26";"DÉVELOPPEUR INTÉGRATEUR WORDPRESS - MARRAKECH";"Marrakech";"Marketing / Communication / Publicité / Rp";"CDI";"WESHORE";"A discuter";"Bac plus 2";"java,javascript,jquery,html,css,php,bootstrap,wordpress"
"27";"Développeur WEB de Marrakech ( F  H )";"Marrakech";"Marketing / Communication / Publicité / Rp";"CDI";"agence marrakech";"2 000 - 3 000 DH";"Bac plus 2";"html,css,php,laravel,angular,node,wordpress"
"28";"Développeur Informatique";"Marrakech";"Informatique / Multimédia / Internet";"CDI";"Pro Techno";"A discuter";"Bac plus 3";"java,javascript,jquery,html,css,angular"
